sourceStructure,targetStructure,sourceComponent,targetComponent,mapType,sourceValue,targetValue
ESTAT#NAMA_10R_2GDP,JOINT#GDP_A_2,GEO,GEO,FunctionalMap,(.*),\\1
ESTAT#NAMA_10R_2GDP,JOINT#GDP_A_2,TIME_PERIOD,TIME,FunctionalMap,(.*),\\1
ESTAT#NAMA_10R_2GDP,JOINT#GDP_A_2,UNIT,UNIT,ValueMap,MIO_EUR,EUR
ESTAT#NAMA_10R_2GDP,JOINT#GDP_A_2,OBS_VALUE,OBS_VALUE,FunctionalMap,(.*),\\1
ESTAT#NAMA_10R_2GDP,JOINT#GDP_A_2,UNIT,UNIT_MULT,ValueMap,MIO_EUR,6
ESTAT#NAMA_10R_2GDP,JOINT#GDP_A_2,GEO,GEO_NAME,PropertyMap,skos:notation,skos:prefLabel
BEA#GDP_SP,JOINT#GDP_A_2,GeoFips,GEO,FunctionalMap,(.*),\\1
BEA#GDP_SP,JOINT#GDP_A_2,GeoName,GEO_NAME,FunctionalMap,(.*),\\1
BEA#GDP_SP,JOINT#GDP_A_2,TimePeriod,TIME,FunctionalMap,(.*),\\1
BEA#GDP_SP,JOINT#GDP_A_2,CL_UNIT,UNIT,ValueMap,USD,USD
BEA#GDP_SP,JOINT#GDP_A_2,UNIT_MULT,UNIT_MULT,ValueMap,6,6
BEA#GDP_SP,JOINT#GDP_A_2,DataValue,OBS_VALUE,FunctionalMap,(.*),\\1
ESTAT#MET_10R_3GDP,JOINT#GDP_A_4,METROREG,GEO,FunctionalMap,(.*),\\1
ESTAT#MET_10R_3GDP,JOINT#GDP_A_4,TIME_PERIOD,TIME,FunctionalMap,(.*),\\1
ESTAT#MET_10R_3GDP,JOINT#GDP_A_4,UNIT,UNIT,ValueMap,MIO_EUR,EUR
ESTAT#MET_10R_3GDP,JOINT#GDP_A_4,OBS_VALUE,OBS_VALUE,FunctionalMap,(.*),\\1
ESTAT#MET_10R_3GDP,JOINT#GDP_A_4,UNIT,UNIT_MULT,ValueMap,MIO_EUR,6
ESTAT#MET_10R_3GDP,JOINT#GDP_A_4,METROREG,GEO_NAME,PropertyMap,skos:notation,skos:prefLabel
