Dataset ID,type,id,label,order,componentRequired,codelist
JOINT#GDP_A_2,dimension,GEO,GEO,,,
JOINT#GDP_A_2,attribute,GEO_NAME,GEO_NAME,,,
JOINT#GDP_A_2,attribute,UNIT,UNIT,,,
JOINT#GDP_A_2,attribute,UNIT_MULT,UNIT_MULT,,,
JOINT#GDP_A_2,dimension,TIME,TIME,,,
JOINT#GDP_A_2,measure,OBS_VALUE,OBS_VALUE,,,
JOINT#GDP_A_4,dimension,GEO,GEO,,,
JOINT#GDP_A_4,attribute,GEO_NAME,GEO_NAME,,,
JOINT#GDP_A_4,attribute,UNIT,UNIT,,,
JOINT#GDP_A_4,attribute,UNIT_MULT,UNIT_MULT,,,
JOINT#GDP_A_4,dimension,TIME,TIME,,,
JOINT#GDP_A_4,measure,OBS_VALUE,OBS_VALUE,,,
JOINT#COMP_EMP_A_2,dimension,GEO,GEO,,,
JOINT#COMP_EMP_A_2,attribute,GEO_NAME,GEO_NAME,,,
JOINT#COMP_EMP_A_2,attribute,UNIT,UNIT,,,
JOINT#COMP_EMP_A_2,attribute,UNIT_MULT,UNIT_MULT,,,
JOINT#COMP_EMP_A_2,dimension,TIME,TIME,,,
JOINT#COMP_EMP_A_2,measure,OBS_VALUE,OBS_VALUE,,,
JOINT#COMP_EMP_A_2,dimension,INDUSTRY_US,INDUSTRY_US,,,
JOINT#COMP_EMP_A_2,dimension,INDUSTRY_EU,INDUSTRY_EU,,,
